_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
23313,13455129,St Clair Ave E,Danforth Rd,177,NA,NA,NA,NA,177,"c(-79.2599200046733, 43.716846011755)",NA,NA,NA,2021-04-27T04:00:00,NA,DANFORTH RD,ST CLAIR AVE E,DANFORTH RD,177,NA,392,NA,41,Scarborough Southwest(20),NA,NA,NA,St Clair Ave E And Danforth Rd,Scarborough,6205,ST CLAIR AVE E
23314,13449204,Lawrence Ave E,McCowan Rd,178,NA,NA,NA,NA,178,"c(-79.2454219966348, 43.7555480047005)",NA,NA,NA,2021-08-16T04:00:00,NA,MCCOWAN RD,LAWRENCE AVE E,MCCOWAN RD,178,NA,380,NA,43,Scarborough Centre(21),NA,Scarborough-Guildwood(24),NA,Lawrence Ave E And Mccowan Rd,Scarborough,6206,LAWRENCE AVE E
23315,20154546,Morningside Ave,401 C W Morningside Ave N Ramp,179,NA,NA,NA,NA,179,"c(-79.1977450106576, 43.7978289967425)",NA,NA,NA,2021-06-23T04:00:00,CINEMART DR,401 C W MORNINGSIDE AVE N RAMP,MORNINGSIDE AVE,401 C W MORNINGSIDE AVE N RAMP,179,NA,1546,HWY 401 NORTH INTERSECTION,42,Scarborough-Rouge Park(25),NA,NA,NA,Morningside Ave And 401 C W Morningside Ave N Ramp / Cinemart Dr,Scarborough,6207,MORNINGSIDE AVE
23316,13447492,Bellamy Rd N,Brimorton Dr,180,NA,NA,NA,NA,180,"c(-79.23916500512, 43.7674520013201)",NA,NA,NA,2021-06-03T04:00:00,NA,BRIMORTON DR,BELLAMY RD N,BRIMORTON DR,180,NA,1017,NA,43,Scarborough Guildwood(24),NA,NA,NA,Bellamy Rd N And Brimorton Dr,Scarborough,6208,BELLAMY RD N
23317,13449428,Weston Rd,Fenmar Dr,181,NA,NA,NA,NA,181,"c(-79.543761993849, 43.7574660031374)",NA,NA,NA,2021-07-29T04:00:00,NA,FENMAR DR,WESTON RD,FENMAR DR,181,NA,1149,NA,31,Humber River-Black Creek(7),NA,NA,NA,Weston Rd And Fenmar Dr,Etobicoke York,6209,WESTON RD
23318,13441776,Markham Rd,McNicoll Ave,182,NA,NA,NA,NA,182,"c(-79.247816998906, 43.8239970063578)",NA,NA,NA,2021-06-11T04:00:00,NA,MCNICOLL AVE,MARKHAM RD,MCNICOLL AVE,182,NA,1560,NA,42,Scarborough North(23),NA,NA,NA,Markham Rd And Mcnicoll Ave,Scarborough,6210,MARKHAM RD
23319,13450818,Lawrence Ave E,Warden Ave,183,NA,NA,NA,NA,183,"c(-79.2947299975949, 43.7453760055059)",NA,NA,NA,2021-06-23T04:00:00,NA,WARDEN AVE,LAWRENCE AVE E,WARDEN AVE,183,NA,409,NA,41,Scarborough Centre(21),NA,NA,NA,Lawrence Ave E And Warden Ave,Scarborough,6211,LAWRENCE AVE E
23320,13462349,Kipling Ave,Widdicombe Hill,184,NA,NA,NA,NA,184,"c(-79.5517119968769, 43.6789370037179)",NA,NA,NA,2021-08-16T04:00:00,WIDDICOMBE HILL BLVD,WIDDICOMBE HILL,KIPLING AVE,WIDDICOMBE HILL,184,NA,1359,NA,23,Etobicoke Centre(2),NA,NA,NA,Kipling Ave And Widdicombe Hill / Widdicombe Hill Blvd,Etobicoke York,6212,KIPLING AVE
23321,13449501,Lawrence Ave E,Brimley Rd,185,NA,NA,NA,NA,185,"c(-79.2553669940847, 43.7535260020301)",NA,43,NA,2021-08-27T04:00:00,NA,BRIMLEY RD,LAWRENCE AVE E,BRIMLEY RD,185,NA,414,NA,41,Scarborough Centre(21),NA,NA,NA,Lawrence Ave E And Brimley Rd,Scarborough,6214,LAWRENCE AVE E
23322,13450458,William R Allen Rd,Sheppard Ave W,186,NA,NA,NA,NA,186,"c(-79.4633900003128, 43.7502510064068)",NA,NA,NA,2021-06-29T04:00:00,NA,SHEPPARD AVE W,WILLIAM R ALLEN RD,SHEPPARD AVE W,186,NA,1407,NA,32,York Centre(6),NA,NA,NA,William R Allen Rd And Sheppard Ave W,North York,6215,WILLIAM R ALLEN RD
